subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
ncit:C33144	skos:exactMatch	mesh:D057146	semapv:MappingInversion	biomappings			1.0		mesh:D057146 ncit:C33144
ncit:C82951	skos:exactMatch	mesh:D058746	semapv:MappingInversion	biomappings			1.0		mesh:D058746 ncit:C82951
ncit:C12994	skos:exactMatch	mesh:D060168	semapv:MappingInversion	biomappings			1.0		mesh:D060168 ncit:C12994
ncit:C13365	skos:exactMatch	mesh:D064048	semapv:MappingInversion	biomappings			1.0		mesh:D064048 ncit:C13365
ncit:C60701	skos:exactMatch	mesh:D064591	semapv:MappingInversion	biomappings			1.0		mesh:D064591 ncit:C60701
ncit:C32183	skos:exactMatch	mesh:D064652	semapv:MappingInversion	biomappings			1.0		mesh:D064652 ncit:C32183
ncit:C97341	skos:exactMatch	mesh:D065842	semapv:MappingInversion	biomappings			1.0		mesh:D065842 ncit:C97341
ncit:C33218	skos:exactMatch	mesh:D065866	semapv:MappingInversion	biomappings			1.0		mesh:D065866 ncit:C33218
ncit:C154777	skos:exactMatch	mesh:D066191	semapv:MappingInversion	biomappings			1.0		mesh:D066191 ncit:C154777
ncit:C32550	skos:exactMatch	mesh:D066271	semapv:MappingInversion	biomappings			1.0		mesh:D066271 ncit:C32550
ncit:C33463	skos:exactMatch	mesh:D066293	semapv:MappingInversion	biomappings			1.0		mesh:D066293 ncit:C33463
